RPM_Reduction_Percent,Actual_RPM,Current_A,Ambient_Temperature_C,Ambient_Humidity_Percent,Motor_Temperature_C,Vibration_g,Health_Score,Fault_Type,Maintenance_Needed
9.144886175,870.23,0.184901425,18.02063093,55.12,41.05672215,0.113895932,82.93,Normal,No
73.26996524,213.24,0.838852071,46.61753799,70.65,100.4376286,1.146253458,38.45,Critical_Fault,Yes
21.60564644,720.63,0.320430656,31.86367336,67.45,48.23360223,0.334696991,77.73,Normal,No
25.01199565,766.39,0.183690896,23.48522519,57.29,36.41325109,0.108100209,87.05,Normal,No
19.22372921,799.24,0.177975399,24.40786375,59.16,47.55963075,0.121092484,83.14,Normal,No
4.56762159,969.53,0.087975891,26.56742212,52.72,42.2235439,0.304557724,86.9,Normal,No
16.94189074,858.17,0.161376384,32.14324355,57.25,51.54277489,0.199042048,80.35,Normal,No
46.39246797,546.74,0.506023042,28.97323521,69.58,68.44061042,0.389118715,72.6,Overload,Yes
36.7910527,658.35,0.347915768,36.73922926,67.5,52.24681377,0.266203392,76.75,Overload,Yes
28.84187086,708.78,0.439276801,28.21465042,61.69,49.86506016,0.264145493,76.49,Normal,No
9.922026447,853.35,0.078097469,28.72763657,62.94,33.13662177,0.075763979,96.83,Normal,No
86.70125672,175.31,0.829028107,47.06095598,41.6,91.34268108,1.019526825,31.94,Critical_Fault,Yes
57.15355147,404.89,0.205258868,30.96540372,57.13,51.41635536,0.625280521,72.3,Normal,No
21.0376148,752.19,0.024601593,19.57345818,60.87,40.72692677,0.186908977,89.9,Normal,No
1.428328497,978.59,0.222252465,21.59968081,54.85,35.50463863,0.180450157,93.63,Overheating,Yes
9.328756323,870.24,0.050131374,30.84605462,53.51,43.25650498,0.270934521,95.01,Normal,No
11.65027847,866.76,0.100615066,22.17678471,60.04,57.87689949,0.357528109,96.68,Normal,No
19.64621569,817.34,0.17542742,17.32141328,58.43,55.20162337,0.112316673,88.82,Normal,No
6.413366957,949.77,0.156759278,20.61860937,56.76,46.85162635,0.146932989,90.76,Normal,No
16.29867973,801.14,0.239630889,23.48208896,55.99,37.51818513,0.395896271,79.54,Normal,No
31.14917851,669.01,0.469969463,31.7803141,60.59,49.22206739,0.351272547,63.11,Overload,Yes
24.94733202,793.48,0.239226711,27.94420637,50.54,38.74419541,0.14886141,87.73,Normal,No
4.175600471,978.09,0.286025846,26.15628807,54.58,39.4670318,0.3088092,82.47,Normal,No
21.19026016,871.08,0.237257554,27.34468088,64.88,49.37112153,0.098843929,71.49,Normal,No
7.630512695,970.91,0.237668518,22.32630996,63.17,50.95558645,0.275911955,86.01,Normal,No
36.76717227,678.13,0.181327678,26.78377507,50.21,63.02749724,0.509628926,77.26,Normal,No
10.4685258,839.76,0.221470193,21.81850867,62.93,56.83917261,0.249675797,91.29,Normal,No
22.17544141,808.8,0.105270941,26.56906247,55.98,36.74648706,0.084973298,97.25,Normal,No
0.437572793,993.55,0.065980839,30.94823197,58.24,53.17230116,0.081422205,99.89,Normal,No
10.44607279,873.46,0.151249188,21.31132921,59.61,33.16076513,0.206544236,97.74,Normal,No
27.95206136,727.2,0.290948802,31.50400718,56.5,46.44177249,0.317003852,73.14,Normal,No
21.16084614,826.24,0.351568346,22.08010191,52.13,29.49312127,0.119758433,86.47,Normal,No
19.30332636,826.96,0.065595083,26.65421046,64.95,50.99633543,0.259724985,91.09,Normal,No
31.44610479,650.44,0.450268672,38.08124716,39.57,78.00479483,0.262862557,73.82,Overload,Yes
75.83983565,271.28,0.790676347,48.35078107,66.68,102.147927,0.634158671,46.28,Critical_Fault,Yes
36.69964983,607.46,0.120374691,25.216247,67.81,40.92059387,0.564066858,80.25,Normal,No
1.166732476,996.97,0.116265908,31.29894096,62.02,55.01720021,0.239527174,92.93,Overheating,Yes
12.48659973,863.01,0.105209896,30.33455653,51.47,41.14459832,0.010251328,93.24,Normal,No
35.18453499,639.4,0.331154419,26.85472092,54.86,51.85016633,0.38731162,72.42,Overload,Yes
26.9449719,761.17,0.252905837,23.53206646,60.32,35.19547557,0.16726531,76.4,Overheating,Yes
0,990.39,0.297153997,26.2722594,59.56,46.42497019,0.366204255,87.87,Mechanical_Vibration,Yes
23.1307803,846.52,0.072141048,26.40836755,52.25,51.98450319,0.264624011,86.55,Normal,No
0,989.58,0.067530552,27.89616248,51.08,35.10251843,0.163700696,97.28,Normal,No
37.10932927,605,0.428966889,38.23905969,47.24,75.70580749,0.363695398,77.2,Overload,Yes
5.83084756,956.47,0.03064434,28.77753175,61.47,35.42557588,0.061778579,100,Normal,No
41.85725667,604.82,0.322404674,31.85007047,60.62,53.57754851,0.180578078,77.31,Overload,Yes
14.97809712,846.25,0.230180837,29.12088888,57.95,29.05322912,0.340598842,87.69,Normal,No
7.090437188,926.79,0.326713667,26.81649431,58.74,49.3035838,0.370143668,89.54,Overload,Yes
4.842200341,967.98,0.145308549,31.65058792,53.37,40.83216056,0.112349276,96.63,Normal,No
14.39572209,846.77,0.233108795,24.32669631,51.82,37.39386645,0.273047516,86.11,Normal,No
75.58272503,299.93,0.935722519,46.96399156,72.33,107.3696918,0.894959047,44.99,Critical_Fault,Yes
41.77739646,615.78,0.433447532,32.2586708,68.29,59.2726525,0.504201825,70.5,Overload,Yes
52.8812974,506.13,0.56369234,35.08374156,40.77,65.22403483,0.385943418,65.92,Overload,Yes
14.67537311,814.6,0.494350289,42.46949577,60.65,71.47623929,0.3993201,79.72,Overheating,Yes
7.122446302,925.61,0.221929986,30.35192389,63.1,45.45704222,0.295360792,87.44,Normal,No
27.25813621,715.38,0.379938404,36.44187349,60.43,80.61473101,0.25971373,75.91,Overheating,Yes
15.9775945,799.98,0.075823474,25.99334386,61,47.22716925,0.11012548,92.65,Normal,No
21.03065674,804.05,0.179723629,20.30526684,61.41,29.2736421,0.324981606,92.42,Normal,No
21.79941697,760.48,0.151937903,22.47742057,52.23,40.62537714,0.445100596,89.75,Normal,No
11.83161532,907.92,0.191266354,28.18518315,63.29,44.2877528,0.197404958,91.38,Normal,No
13.10923375,826.1,0.036624773,27.82094391,55.33,49.80726541,0.080366408,76.5,Normal,No
18.89616245,879.76,0.205430231,20.38056751,58.7,42.54557664,0.254322349,88.68,Normal,No
43.47466937,529.41,0.398809951,24.74793577,69.75,50.10151948,0.404835957,76.66,Overload,Yes
9.237209349,916.44,0.210113801,27.85480147,61.83,44.69809079,0.301498385,92.5,Normal,No
11.36743724,917.95,0.183375775,19.24263563,53.31,46.43368779,0.279703552,82.92,Normal,No
21.04743828,766.72,0.251687201,25.43591185,59.54,49.07734489,0.071853334,74.2,Overload,Yes
24.40987457,790.05,0.143839696,28.96591969,58.82,34.74398143,0.11691555,94.44,Normal,No
16.13326561,789.52,0.188105987,34.99208196,53.19,56.57187844,0.54446101,74.9,Normal,No
12.2884708,935.18,0.167849081,30.74031694,62.63,31.52490829,0.334159371,97.36,Normal,No
76.95659706,230.96,0.633646407,41.64126731,66.4,93.83189465,0.893532281,44.16,Critical_Fault,Yes
48.23435437,493.79,0.216841868,29.4568034,49.06,64.12852936,0.625922567,64.32,Normal,Yes
