timestamp,rpm_reduction_percent,rpm_actual,current,expected_current,current_deviation_percent,efficiency_index,ambient_temperature,ambient_humidity,estimated_temperature,vibration,vibration_level,health_score,fault_type,failure_probability,maintenance
2026-06-21 12:54:48,40.0,600.0,0.07,0.17,58.82,60.0,28.0,63.4,34.32,0.3048,MEDIUM,68.97,Mechanical_Vibration,31.03,NO
2026-06-21 12:54:48,40.0,600.0,0.07,0.17,58.82,60.0,28.0,63.4,34.32,0.3048,MEDIUM,68.97,Mechanical_Vibration,31.03,NO
2026-06-21 12:54:49,40.0,600.0,0.07,0.17,58.82,60.0,28.0,63.4,34.32,0.3048,MEDIUM,68.97,Mechanical_Vibration,31.03,NO
2026-06-21 12:54:50,60.0,400.0,0.1,0.13,23.08,40.0,28.0,63.4,35.33,0.3221,MEDIUM,64.03,Mechanical_Vibration,35.97,NO
2026-06-21 12:54:51,60.0,400.0,0.14,0.13,7.69,40.0,28.0,63.4,36.81,0.354,MEDIUM,64.61,Mechanical_Vibration,35.39,NO
2026-06-21 12:54:52,60.0,400.0,0.14,0.13,7.69,40.0,28.0,63.4,36.81,0.354,MEDIUM,64.61,Mechanical_Vibration,35.39,NO
2026-06-21 12:54:53,60.0,400.0,0.16,0.13,23.08,40.0,28.0,63.5,36.13,0.2755,MEDIUM,65.43,Mechanical_Vibration,34.57,NO
2026-06-21 12:54:54,60.0,400.0,0.16,0.13,23.08,40.0,28.0,63.5,36.13,0.2755,MEDIUM,65.43,Mechanical_Vibration,34.57,NO
2026-06-21 12:54:55,80.0,200.0,0.13,0.09,44.44,20.0,28.0,63.5,35.69,0.2962,MEDIUM,54.67,Mechanical_Vibration,45.33,YES
2026-06-21 12:54:56,80.0,200.0,0.2,0.09,122.22,20.0,28.0,63.2,37.13,0.2754,MEDIUM,47.52,Mechanical_Vibration,52.48,YES
2026-06-21 12:54:57,80.0,200.0,0.17,0.09,88.89,20.0,28.0,63.2,36.25,0.2668,MEDIUM,51.11,Mechanical_Vibration,48.89,YES
2026-06-21 12:54:58,80.0,200.0,0.18,0.09,100.0,20.0,27.9,63.3,37.06,0.3106,MEDIUM,48.68,Mechanical_Vibration,51.32,YES
2026-06-21 12:54:59,80.0,200.0,0.19,0.09,111.11,20.0,27.9,63.3,37.43,0.3189,MEDIUM,47.32,Mechanical_Vibration,52.68,YES
2026-06-21 12:55:00,80.0,200.0,0.19,0.09,111.11,20.0,27.9,63.3,37.43,0.3189,MEDIUM,47.32,Mechanical_Vibration,52.68,YES
2026-06-21 12:55:01,100.0,0.0,0.2,0.05,300.0,0.0,28.0,63.4,37.16,0.2773,MEDIUM,21.68,Mechanical_Vibration,78.32,YES
2026-06-21 12:55:02,100.0,0.0,0.2,0.05,300.0,0.0,28.0,63.4,37.16,0.2773,MEDIUM,21.68,Mechanical_Vibration,78.32,YES
